	AC	AL	DE	DR	EN	GS	ID	LENG	NC	TC
TIGR02250	TIGR02250	clustalw	FCP1-like phosphatase, phosphatase domain	NA	FCP1-like phosphatase, phosphatase domain	NA	FCP1_euk	156	102.30 102.30	135.25 135.25
TIGR03889	TIGR03889	muscle_manual	nitrile hydratase accessory protein	NA	nitrile hydratase accessory protein	NA	nitrile_acc	74	44.00 44.00	46.00 46.00
TIGR00269	TIGR00269	clustalw	TIGR00269 family protein	NA	TIGR00269 family protein	NA	TIGR00269	104	42.05 42.05	62.75 62.75
TIGR02774	TIGR02774	clustalw	ATP-dependent nuclease subunit B	NA	ATP-dependent nuclease subunit B	rexB	rexB_recomb	1076	523.55 523.55	718.35 718.35
TIGR01340	TIGR01340	clustalw	aconitate hydratase, mitochondrial	NA	aconitate hydratase, mitochondrial	NA	aconitase_mito	745	558.15 558.15	825.35 825.35
TIGR01491	TIGR01491	clustalw	phosphoserine phosphatase-like hydrolase, archaeal	NA	HAD-superfamily, subfamily-IB PSPase-like hydrolase, archaeal	NA	HAD-SF-IB-PSPlk	201	106.50 106.50	151.90 151.90
TIGR02100	TIGR02100	clustalw	glycogen debranching enzyme GlgX	HAMAP; MF_01248; 27 of 28	glycogen debranching enzyme GlgX	glgX	glgX_debranch	688	275.35 275.35	640.90 640.90
TIGR03679	TIGR03679	muscle	arCOG00187 universal archaeal metal-binding-domain/4Fe-4S-binding-domain containing ABC transporter, ATP-binding protein	NA	arCOG00187 universal archaeal metal-binding-domain/4Fe-4S-binding-domain containing ABC transporter, ATP-binding protein	NA	arCOG00187	218	193.45 193.45	197.30 197.30
TIGR00932	TIGR00932	clustalw_manual	transporter, monovalent cation:proton antiporter-2 (CPA2) family	HAMAP; MF_01413; 22 of 23	transporter, monovalent cation:proton antiporter-2 (CPA2) family	NA	2a37	275	212.55 212.55	238.30 238.30
TIGR04339	TIGR04339	muscle_manual	PQQ system protein	NA	Actinobacterial PQQ system protein	NA	PQQ_MSMEG_3727	151	35.00 35.00	75.00 75.00
TIGR01442	TIGR01442	clustalw_manual	small, acid-soluble spore protein, gamma-type	NA	small, acid-soluble spore protein, gamma-type	NA	SASP_gamma	86	28.65 28.65	30.65 30.65
TIGR00385	TIGR00385	clustalw	periplasmic protein thiol:disulfide oxidoreductases, DsbE subfamily	SWISSPROT; P33926;	periplasmic protein thiol:disulfide oxidoreductases, DsbE subfamily	dsbE	dsbE	173	82.00 82.00	123.15 123.15
TIGR01786	TIGR01786	clustalw	TonB-dependent hemoglobin/transferrin/lactoferrin receptor family protein	NA	TonB-dependent hemoglobin/transferrin/lactoferrin receptor family protein	NA	TonB-hemlactrns	719	270.65 270.65	323.75 323.75
TIGR00431	TIGR00431	clustalw_manual	tRNA pseudouridine(55) synthase	HAMAP; MF_01081; 2 of 26	tRNA pseudouridine(55) synthase	truB	TruB	210	58.10 58.10	151.45 151.45
TIGR02123	TIGR02123	clustalw_manual	TRAP transporter, 4TM/12TM fusion protein	NA	TRAP transporter, 4TM/12TM fusion protein	NA	TRAP_fused	615	250.40 250.40	320.65 320.65
TIGR03532	TIGR03532	muscle	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase	NA	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase	dapD	DapD_Ac	231	182.20 182.20	231.75 231.75
TIGR00503	TIGR00503	clustalw	peptide chain release factor 3	HAMAP; MF_00072; 214 of 218	peptide chain release factor 3	prfC	prfC	527	327.25 327.25	466.95 466.95
TIGR03235	TIGR03235	muscle	cysteine desulfurase DndA	NA	cysteine desulfurase DndA	dndA	DNA_S_dndA	353	465.00 465.00	480.00 480.00
TIGR01261	TIGR01261	clustalw_manual	histidinol-phosphatase	HAMAP; MF_01022; 53 of 53	histidinol-phosphatase	hisB	hisB_Nterm	161	93.45 93.45	140.00 140.00
TIGR01448	TIGR01448	clustalw	helicase, RecD/TraA family	NA	helicase, putative, RecD/TraA family	NA	recD_rel	720	218.40 218.40	539.20 539.20
TIGR03977	TIGR03977	muscle_manual	His-Xaa-Ser system radical SAM maturase HxsC	NA	His-Xaa-Ser system radical SAM maturase HxsC	hxsC	rSAM_pair_HxsC	292	181.65 181.65	267.90 267.90
TIGR02824	TIGR02824	clustalw_manual	putative NAD(P)H quinone oxidoreductase, PIG3 family	PFAM; PF00107; ADH_zinc_N	putative NAD(P)H quinone oxidoreductase, PIG3 family	NA	quinone_pig3	325	293.70 293.70	296.80 296.80
TIGR00924	TIGR00924	clustalw_manual	amino acid/peptide transporter (Peptide:H+ symporter)	URL; http://www-biology.ucsd.edu/~msaier/transport/2_A_17.html	amino acid/peptide transporter (Peptide:H+ symporter), bacterial	NA	yjdL_sub1_fam	475	122.20 122.20	130.20 130.20
TIGR00786	TIGR00786	clustalw_manual	TRAP transporter, DctM subunit	NA	TRAP transporter, DctM subunit	NA	dctM	405	131.85 131.85	268.45 268.45
TIGR01678	TIGR01678	clustalw_manual	sugar 1,4-lactone oxidases	PROSITE; PS00862; OX2_COVAL_FAD	sugar 1,4-lactone oxidases	NA	FAD_lactone_ox	438	295.40 295.40	396.80 396.80
TIGR01373	TIGR01373	clustalw	sarcosine oxidase, beta subunit family	NA	sarcosine oxidase, beta subunit family, heterotetrameric form	NA	soxB	407	182.65 182.65	529.45 529.45
TIGR00220	TIGR00220	clustalw	large conductance mechanosensitive channel protein	HAMAP; MF_00115; 260 of 262	large conductance mechanosensitive channel protein	mscL	mscL	127	43.30 43.30	71.00 71.00
TIGR00677	TIGR00677	clustalw	methylenetetrahydrofolate reductase	EXPERIMENTAL; GP|5911425|gb|AAD55787.1|AF181966_1|AF181966	methylenetetrahydrofolate reductase, eukaryotic type	NA	fadh2_euk	281	301.80 301.80	310.05 310.05
TIGR00079	TIGR00079	clustalw	peptide deformylase	HAMAP; MF_00163; 323 of 332	peptide deformylase	def	pept_deformyl	161	74.15 74.15	103.95 103.95
TIGR03923	TIGR03923	muscle_manual	type VII secretion protein EccE	NA	type VII secretion protein EccE	eccE	T7SS_EccE	344	42.15 42.15	108.00 108.00
TIGR00771	TIGR00771	clustalw_manual	transporter, anaerobic C4-dicarboxylate uptake C (DcuC) family	URL; http://www-biology.ucsd.edu/~msaier/transport/2_A_61.html	c4-dicarboxylate anaerobic carrier family protein	NA	DcuC	388	148.50 148.50	187.00 187.00
TIGR02508	TIGR02508	clustalw	type III secretion protein, YscG family	NA	type III secretion protein, YscG family	NA	type_III_yscG	116	48.35 48.35	97.15 97.15
TIGR00567	TIGR00567	NA	DNA-3-methyladenine glycosylase	HAMAP; MF_00527; 159 of 162	DNA-3-methyladenine glycosylase	NA	3mg	192	75.80 75.80	116.35 116.35
TIGR00890	TIGR00890	clustalw_manual	oxalate/formate antiporter family transporter	NA	oxalate/formate antiporter family transporter	NA	2A0111	377	296.20 296.20	374.85 374.85
TIGR04365	TIGR04365	clustalw_manual	autonomous glycyl radical cofactor GrcA	NA	autonomous glycyl radical cofactor GrcA	grcA	spare_glycyl	126	160.00 160.00	170.00 170.00
TIGR02808	TIGR02808	clustalw	TIGR02808 family protein	NA	TIGR02808 family protein	NA	short_TIGR02808	42	38.00 38.00	40.00 40.00
TIGR04051	TIGR04051	muscle_manual	heme d1 biosynthesis radical SAM protein NirJ	NA	heme d1 biosynthesis radical SAM protein NirJ	nirJ	rSAM_NirJ	354	447.15 447.15	515.45 515.45
TIGR02365	TIGR02365	clustalw	dihydroxyacetone kinase, L subunit	NA	dihydroxyacetone kinase, phosphoprotein-dependent, L subunit	dhaL	dha_L_ycgS	196	136.20 136.20	138.30 138.30
TIGR00088	TIGR00088	msa_tigr	tRNA (guanine(37)-N(1))-methyltransferase	HAMAP; MF_00605; 453 of 462	tRNA (guanine-N1)-methyltransferase	trmD	trmD	233	29.35 29.35	195.00 195.00
TIGR01230	TIGR01230	clustalw_manual	agmatinase	HAMAP; MF_01418; 33 of 34	agmatinase	speB	agmatinase	275	141.00 141.00	174.30 174.30
TIGR01122	TIGR01122	clustalw	branched-chain amino acid aminotransferase	NA	branched-chain amino acid aminotransferase, group I	ilvE	ilvE_I	298	196.55 196.55	245.55 245.55
TIGR02034	TIGR02034	clustalw	sulfate adenylyltransferase, large subunit	HAMAP; MF_00062; 38 of 39	sulfate adenylyltransferase, large subunit	cysN	CysN	406	327.65 327.65	336.10 336.10
TIGR04071	TIGR04071	muscle_manual	methanobactin precursor, Mb-OB3b family	NA	methanobactin precursor, Mb-OB3b family	mbnA	methanobac_OB3b	25	20.00 20.00	30.00 30.00
TIGR00964	TIGR00964	clustalw_manual	preprotein translocase, SecE subunit	URL; http://tcdb.ucsd.edu/tcdb/tcfamilybrowse.php?tcname=3.A.5	preprotein translocase, SecE subunit, bacterial	secE	secE_bact	57	25.65 25.65	27.55 27.55
TIGR00374	TIGR00374	clustalw	TIGR00374 family protein	NA	conserved hypothetical protein	NA	TIGR00374	323	33.60 33.60	43.20 43.20
TIGR04320	TIGR04320	manual	SEC10/PgrA surface exclusion domain	NA	SEC10/PgrA surface exclusion domain	NA	Surf_Exclu_PgrA	360	65.00 65.00	70.00 70.00
TIGR03293	TIGR03293	muscle	phosphonate C-P lyase system protein PhnG	 INTERPRO; IPR009609;	phosphonate C-P lyase system protein PhnG	phnG	PhnG_redo	144	47.30 47.30	89.00 89.00
TIGR02527	TIGR02527	clustalw	Dot/Icm secretion system protein IcmQ	NA	Dot/Icm secretion system protein IcmQ	icmQ	dot_icm_IcmQ	179	98.85 98.85	99.10 99.10
TIGR03769	TIGR03769	muscle_manual	actinobacterial surface-anchored protein domain	NA	actinobacterial surface-anchored protein domain	NA	P_ac_wall_RPT	41	23.35 23.35	30.90 30.90
TIGR02481	TIGR02481	clustalw	hemerythrin-like metal-binding domain	HAMAP; MF_00556; 10 of 10	hemerythrin-like metal-binding domain	NA	hemeryth_dom	126	43.55 43.55	51.75 51.75
TIGR03850	TIGR03850	muscle_manual	carbohydrate ABC transporter substrate-binding protein, CPR_0540 family	NA	carbohydrate ABC transporter substrate-binding protein, CPR_0540 family	NA	bind_CPR_0540	437	298.80 298.80	299.00 299.00
TIGR03141	TIGR03141	manual	heme exporter protein CcmD	PFAM; PF04995; CcmD; heme exporter protein D	heme exporter protein CcmD	ccmD	cytochro_ccmD	47	25.70 25.70	25.95 25.95
TIGR04176	TIGR04176	muscle	EPS-associated transcriptional regulator, MarR family	NA	EPS-associated transcriptional regulator, MarR family	NA	MarR_EPS	105	85.00 85.00	88.00 88.00
TIGR00050	TIGR00050	msa_tigr	RNA methyltransferase, TrmH family, group 1	NA	RNA methyltransferase, TrmH family, group 1	NA	rRNA_methyl_1	233	89.40 89.40	167.15 167.15
TIGR03287	TIGR03287	muscle	putative methanogenesis marker 16 metalloprotein	PFAM; PF00037; Fer4: 4Fe-4S binding domain	putative methanogenesis marker 16 metalloprotein	NA	methan_mark_16	391	232.70 232.70	363.95 363.95
TIGR02408	TIGR02408	clustalw	ectoine hydroxylase	NA	ectoine hydroxylase	thpD	ectoine_ThpD	277	209.45 209.45	336.50 336.50
TIGR02062	TIGR02062	clustalw	exoribonuclease II	HAMAP; MF_01036; 50 of 51	exoribonuclease II	rnb	RNase_B	646	328.55 328.55	641.90 641.90
TIGR03494	TIGR03494	clustalw_manual	salicylate synthase	NA	salicylate synthase	NA	salicyl_syn	425	221.40 221.40	325.15 325.15
TIGR01870	TIGR01870	clustalw_manual	CRISPR type III-A/MTUBE-associated protein Csm2	URL	CRISPR type III-A/MTUBE-associated protein Csm2	csm2	cas_TM1810_Csm2	96	29.25 29.25	30.60 30.60
TIGR02038	TIGR02038	clustalw	periplasmic serine peptidase DegS	NA	periplasmic serine pepetdase DegS	degS	protease_degS	351	291.85 291.85	422.95 422.95
TIGR02542	TIGR02542	clustalw	TANFOR domain	NA	TANFOR domain	NA	T_forsyth_147	145	30.00 30.00	67.00 65.00
TIGR03121	TIGR03121	muscle	formylmethanofuran dehydrogenase subunit A	NA	formylmethanofuran dehydrogenase subunit A	NA	one_C_dehyd_A	556	69.30 69.30	392.75 392.75
TIGR00730	TIGR00730	clustalw	TIGR00730 family protein	NA	TIGR00730 family protein	NA	TIGR00730	178	63.80 63.80	96.35 96.35
TIGR02339	TIGR02339	clustalw_manual	thermosome, various subunits, archaeal	NA	thermosome, various subunits, archaeal	NA	thermosome_arch	521	539.80 539.80	671.10 671.10
TIGR03371	TIGR03371	muscle_manual	cellulose synthase operon protein YhjQ	PFAM; PF01656; CobQ/CobB/MinD/ParA nucleotide binding domain	cellulose synthase operon protein YhjQ	yhjQ	cellulose_yhjQ	246	104.25 104.25	157.85 157.85
TIGR01571	TIGR01571	clustalw_manual	uncharacterized Cys-rich domain	NA	uncharacterized Cys-rich domain	NA	A_thal_Cys_rich	105	27.40 27.40	35.05 35.05
TIGR02882	TIGR02882	muscle	cytochrome aa3 quinol oxidase, subunit I	NA	cytochrome aa3 quinol oxidase, subunit I	qoxB	QoxB	643	954.70 954.70	1015.50 1015.50
TIGR03587	TIGR03587	muscle	pseudaminic acid biosynthesis-associated methylase	NA	pseudaminic acid biosynthesis-associated methylase	NA	Pse_Me-ase	204	111.80 111.80	112.05 112.05
TIGR01755	TIGR01755	clustalw	NAD(P)H:quinone oxidoreductase, type IV	HAMAP; MF_01017; 83 of 85	NAD(P)H:quinone oxidoreductase, type IV	wrbA	flav_wrbA	197	121.15 121.15	132.50 132.50
TIGR04324	TIGR04324	muscle_manual	sporadic carbohydrate cluster 2OG-Fe(II) oxygenase	NA	sporadic carbohydrate cluster 2OG-Fe(II) oxygenase	NA	SpoChoClust_2	248	80.00 80.00	150.00 150.00
TIGR00259	TIGR00259	clustalw	membrane complex biogenesis protein, BtpA family	NA	membrane complex biogenesis protein, BtpA family	NA	thylakoid_BtpA	257	106.15 106.15	153.40 153.40
TIGR02768	TIGR02768	muscle	Ti-type conjugative transfer relaxase TraA	NA	Ti-type conjugative transfer relaxase TraA	traA	TraA_Ti	751	348.55 348.55	590.45 590.45
TIGR03788	TIGR03788	muscle_manual	marine proteobacterial sortase target protein	NA	marine proteobacterial sortase target protein	NA	marine_srt_targ	629	550.25 550.25	551.65 551.65
TIGR01926	TIGR01926	clustalw	uncharacterized peroxidase-related enzyme	NA	uncharacterized peroxidase-related enzyme	NA	peroxid_rel	178	55.60 55.60	81.80 81.80
TIGR03094	TIGR03094	muscle	sulfocyanin	NA	sulfocyanin	NA	sulfo_cyanin	195	58.85 58.85	168.40 168.40
TIGR00211	TIGR00211	clustalw	glycine--tRNA ligase, beta subunit	HAMAP; MF_00255; 151 of 157	glycyl-tRNA synthetase, tetrameric type, beta subunit	glyS	glyS	691	296.90 296.90	321.95 321.95
TIGR00436	TIGR00436	clustalw	GTP-binding protein Era	HAMAP; MF_00367; 209 of 212	GTP-binding protein Era	era	era	270	95.25 95.25	116.25 116.25
TIGR03085	TIGR03085	clustalw	TIGR03085 family protein	NA	TIGR03085 family protein	NA	TIGR03085	201	75.55 75.55	138.85 138.85
TIGR01852	TIGR01852	clustalw_manual	acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase	HAMAP; MF_00387; 175 of 177	acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase	lpxA	lipid_A_lpxA	254	114.05 114.05	231.05 231.05
TIGR00145	TIGR00145	clustalw	FTR1 family protein	SWISSPROT; P40088; FTR1_YEAST	FTR1 family protein	NA	TIGR00145	282	43.60 43.60	303.80 303.80
TIGR00292	TIGR00292	clustalw	thiazole biosynthesis enzyme	HAMAP; MF_00304; 27 of 27	thiazole biosynthesis enzyme	NA	TIGR00292	254	114.85 114.85	148.30 148.30
TIGR02009	TIGR02009	clustalw	beta-phosphoglucomutase family hydrolase	NA	beta-phosphoglucomutase family hydrolase	NA	PGMB-YQAB-SF	186	145.85 145.85	153.35 153.35
TIGR00657	TIGR00657	NA	aspartate kinase	EXPERIMENTAL; EGAD|75283|81007; bifunctional, chloroplast	aspartate kinase	NA	asp_kinases	442	91.15 91.15	208.70 208.70
TIGR04250	TIGR04250	muscle_manual	SynChlorMet cassette radical SAM/SPASM protein ScmE	NA	SynChlorMet cassette radical SAM/SPASM protein ScmE	scmE	SCM_rSAM_ScmE	358	175.00 175.00	400.00 400.00
TIGR02818	TIGR02818	clustalw	S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase	NA	S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase	NA	adh_III_F_hyde	368	509.55 509.55	543.95 543.95
TIGR00509	TIGR00509	NA	molybdopterin guanine dinucleotide-containing S/N-oxide reductases	NA	molybdopterin guanine dinucleotide-containing S/N-oxide reductases	NA	bisC_fam	772	232.15 232.15	1017.55 1017.55
TIGR01567	TIGR01567	clustalw_manual	S-layer family duplication domain	NA	S-layer family duplication domain	NA	S_layer_rel_Mac	259	84.45 84.45	121.90 121.90
TIGR03489	TIGR03489	muscle_manual	CRISPR-associated protein Cas7/Csp1, subtype PGING	NA	CRISPR-associated protein Cas7/Csp1, subtype PGING	cas7	cas_csp1	292	29.20 29.20	340.65 340.65
TIGR01622	TIGR01622	clustalw	splicing factor, CC1-like family	NA	splicing factor, CC1-like family	NA	SF-CC1	500	167.00 167.00	231.65 231.65
TIGR03162	TIGR03162	muscle_manual	alpha-ribazole phosphatase	NA	alpha-ribazole phosphatase	cobC	ribazole_cobC	176	155.60 155.60	162.90 162.90
TIGR02648	TIGR02648	clustalw	DNA replication terminus site-binding protein	HAMAP; MF_00483; 26 of 27	DNA replication terminus site-binding protein	tus	rep_term_tus	300	57.70 57.70	178.30 178.30
TIGR02901	TIGR02901	muscle	cytochrome aa3 quinol oxidase, subunit IV	NA	cytochrome aa3 quinol oxidase, subunit IV	qoxD	QoxD	94	61.90 61.90	85.60 85.60
TIGR02341	TIGR02341	clustalw	T-complex protein 1, beta subunit	NA	T-complex protein 1, beta subunit	NA	chap_CCT_beta	519	504.00 504.00	522.15 522.15
TIGR02384	TIGR02384	clustalw_manual	addiction module antitoxin, RelB/DinJ family	NA	addiction module antitoxin, RelB/DinJ family	NA	RelB_DinJ	85	33.45 33.45	45.65 45.65
TIGR00551	TIGR00551	NA	L-aspartate oxidase	PFAM; PF00890; FAD_binding_2	L-aspartate oxidase	nadB	nadB	489	425.60 425.60	452.75 452.75
TIGR01669	TIGR01669	clustalw_manual	phage uncharacterized protein, XkdX family	NA	phage uncharacterized protein, XkdX family	NA	phage_XkdX	45	27.90 27.90	28.20 28.20
TIGR02220	TIGR02220	clustalw_manual	phage conserved hypothetical protein, C-terminal domain	NA	phage conserved hypothetical protein, C-terminal domain	NA	phg_TIGR02220	77	20.10 20.10	66.65 66.65
TIGR03988	TIGR03988	muscle_manual	mycothiol system anti-sigma-R factor	NA	mycothiol system anti-sigma-R factor	rsrA	antisig_RsrA	77	46.30 46.30	62.50 62.50
TIGR02219	TIGR02219	clustalw_manual	putative phage cell wall peptidase, NlpC/P60 family	PFAM; PF00877; NlpC/P60 family	putative phage cell wall peptidase, NlpC/P60 family	NA	phage_NlpC_fam	134	62.25 62.25	81.90 81.90
TIGR03448	TIGR03448	muscle_manual	mycothiol synthase	NA	mycothiol synthase	mshD	mycothiol_MshD	294	55.90 55.90	163.10 163.10
TIGR02092	TIGR02092	clustalw_manual	glucose-1-phosphate adenylyltransferase, GlgD subunit	NA	glucose-1-phosphate adenylyltransferase, GlgD subunit	glgD	glgD	370	231.25 231.25	236.60 236.60
TIGR04263	TIGR04263	muscle_manual	SasC/Mrp/FmtB intercellular aggregation domain	NA	SasC/Mrp/FmtB intercellular aggregation domain	NA	SasC_Mrp_aggreg	366	40.00 40.00	60.00 60.00
TIGR03909	TIGR03909	muscle	pyrrolysine biosynthesis protein PylC	NA	pyrrolysine biosynthesis protein PylC	pylC	pyrrolys_PylC	374	247.05 247.05	248.30 248.30
TIGR02263	TIGR02263	clustalw	benzoyl-CoA reductase, subunit C	NA	benzoyl-CoA reductase, subunit C	bcrC	benz_CoA_red_C	380	141.80 141.80	421.15 421.15
TIGR03435	TIGR03435	muscle_manual	soil-associated protein, TIGR03435 family	NA	soil-associated protein, TIGR03435 family	NA	Soli_TIGR03435	241	22.00 22.00	40.00 40.00
TIGR03366	TIGR03366	muscle	putative phosphonate catabolism associated alcohol dehydrogenase	NA	putative phosphonate catabolism associated alcohol dehydrogenase	NA	HpnZ_proposed	315	246.55 246.55	328.10 328.10
TIGR02661	TIGR02661	clustalw	methylamine dehydrogenase accessory protein MauD	NA	methylamine dehydrogenase accessory protein MauD	mauD	MauD	189	52.55 52.55	188.60 188.60
TIGR00493	TIGR00493	clustalw	ATP-dependent Clp endopeptidase, proteolytic subunit ClpP	HAMAP; MF_00444; 354 of 624	ATP-dependent Clp endopeptidase, proteolytic subunit ClpP	clpP	clpP	192	59.20 59.20	308.60 308.60
TIGR00721	TIGR00721	clustalw	DNA-binding protein, Tfx family	HAMAP; MF_00620; 10 of 10	DNA-binding protein, Tfx family	NA	tfx	137	45.40 45.40	60.25 60.25
TIGR02732	TIGR02732	clustalw	9,9'-di-cis-zeta-carotene desaturase	NA	9,9'-di-cis-zeta-carotene desaturase	zds	zeta_caro_desat	474	344.15 344.15	622.15 622.15
TIGR02728	TIGR02728	clustalw	spore coat protein GerQ	NA	spore coat protein GerQ	gerQ	spore_gerQ	82	41.75 41.75	88.95 88.95
TIGR03506	TIGR03506	muscle	flagellar hook-basal body protein	NA	flagellar hook-basal body protein	NA	FlgEFG_subfam	351	66.90 66.90	70.25 70.25
TIGR02300	TIGR02300	clustalw_manual	TIGR02300 family protein	NA	TIGR02300 family protein	NA	FYDLN_acid	129	35.70 35.70	41.65 41.65
TIGR01538	TIGR01538	clustalw_manual	phage portal protein, SPP1 family	NA	phage portal protein, SPP1 family	NA	portal_SPP1	426	38.35 38.35	165.85 165.85
TIGR00462	TIGR00462	clustalw_manual	EF-P lysine aminoacylase GenX	HAMAP; MF_00174; 49 of 52	EF-P lysine aminoacylase GenX	NA	genX	304	279.15 279.15	286.90 286.90
TIGR02102	TIGR02102	clustalw	pullulanase, extracellular	NA	pullulanase, extracellular, Gram-positive	NA	pullulan_Gpos	1113	487.75 487.75	1042.25 1042.25
TIGR02554	TIGR02554	clustalw	type III secretion apparatus protein PrgH/EprH	NA	type III secretion system protein PrgH/EprH	eprH	PrgH	389	166.70 166.70	188.60 188.60
TIGR01860	TIGR01860	clustalw	nitrogenase vanadium-iron protein, alpha chain	NA	nitrogenase vanadium-iron protein, alpha chain	vnfD	VNFD	461	822.85 822.85	823.10 823.10
TIGR01525	TIGR01525	clustalw	heavy metal translocating P-type ATPase	NA	heavy metal translocating P-type ATPase	NA	ATPase-IB_hvy	560	329.80 329.80	346.25 346.25
TIGR04303	TIGR04303	muscle_manual	GeoRSP system radical SAM/SPASM protein	NA	GeoRSP system radical SAM/SPASM protein	NA	GeoRSP_rSAM	325	225.00 225.00	400.00 400.00
TIGR02856	TIGR02856	clustalw	sporulation protein YqfC	NA	sporulation protein YqfC	yqfC	spore_yqfC	85	29.70 29.70	77.80 77.80
TIGR02091	TIGR02091	clustalw_manual	glucose-1-phosphate adenylyltransferase	HAMAP; MF_00624; 186 of 195	glucose-1-phosphate adenylyltransferase	glgC	glgC	364	343.55 343.55	424.90 424.90
TIGR02963	TIGR02963	muscle	xanthine dehydrogenase, small subunit	NA	xanthine dehydrogenase, small subunit	xdhA	xanthine_xdhA	468	283.20 283.20	467.00 467.00
TIGR01869	TIGR01869	clustalw_manual	CRISPR-associated protein Cas7/Cse4/CasC, subtype I-E/ECOLI	URL	CRISPR-associated protein Cas7/Cse4/CasC, subtype I-E/ECOLI	cas7	casC_Cse4	325	140.50 140.50	178.05 178.05
TIGR02425	TIGR02425	clustalw	4-carboxymuconolactone decarboxylase	NA	4-carboxymuconolactone decarboxylase	pcaC	decarb_PcaC	123	138.10 138.10	155.70 155.70
TIGR01646	TIGR01646	clustalw_manual	Rhs element Vgr protein	NA	Rhs element Vgr protein	NA	vgr_GE	480	113.60 113.60	121.80 121.80
TIGR02707	TIGR02707	clustalw	butyrate kinase	HAMAP; MF_00542; 28 of 31	butyrate kinase	buk	butyr_kinase	351	129.35 129.35	289.10 289.10
TIGR01504	TIGR01504	clustalw	glyoxylate carboligase	OUTGROUP; SP|P42463; acetolactate synthase large subunit	glyoxylate carboligase	gcl	glyox_carbo_lig	589	589.15 589.15	711.20 711.20
TIGR00048	TIGR00048	msa_tigr	23S rRNA m2A2503 methyltransferase	HAMAP; MF_01849; 521 of 570	23S rRNA m2A2503 methyltransferase	rlmN	TIGR00048	355	176.50 176.50	236.95 236.95
TIGR04253	TIGR04253	muscle_manual	mesaconyl-CoA isomerase	NA	mesaconyl-CoA isomerase	NA	mesacon_CoA_iso	403	625.00 625.00	725.00 725.00
TIGR03065	TIGR03065	manual	sortase B signal domain, QVPTGV class	NA	sortase B signal domain, QVPTGV class	NA	srtB_sig_QVPTGV	32	21.20 21.20	21.35 21.35
TIGR03893	TIGR03893	muscle_manual	type 2 lantibiotic, SP_1948 family	NA	type 2 lantibiotic, SP_1948 family	NA	lant_SP_1948	61	32.65 32.65	32.95 32.95
TIGR02538	TIGR02538	clustalw_manual	type IV-A pilus assembly ATPase PilB	NA	type IV-A pilus assembly ATPase PilB	pilB	type_IV_pilB	564	625.75 625.75	675.65 675.65
TIGR04299	TIGR04299	muscle_manual	putrescine-ornithine antiporter	NA	putrescine-ornithine antiporter	potE	antiport_PotE	430	550.00 550.00	560.00 560.00
TIGR02939	TIGR02939	muscle	RNA polymerase sigma factor RpoE	NA	RNA polymerase sigma factor RpoE	rpoE	RpoE_Sigma70	190	170.45 170.45	236.15 236.15
TIGR03764	TIGR03764	muscle_manual	integrating conjugative element, PFGI_1 class, ParB family protein	NA	integrating conjugative element, PFGI_1 class, ParB family protein	NA	ICE_PFGI_1_parB	260	99.90 99.90	143.75 143.75
TIGR02895	TIGR02895	muscle_manual	RNA polymerase sigma-I factor	NA	RNA polymerase sigma-I factor	sigI	spore_sigI	219	81.55 81.55	185.00 185.00
TIGR04233	TIGR04233	muscle_manual	seadornavirus VP8 protein	NA	seadornavirus VP8 protein	NA	seadorna_VP8	291	24.00 24.00	75.00 75.00
TIGR04116	TIGR04116	muscle_manual	CXXX repeat peptide modification system protein	NA	CXXX repeat peptide modification system protein	NA	CXXX_rpt_assoc	90	27.00 27.00	50.00 50.00
TIGR00036	TIGR00036	clustalw_manual	dihydrodipicolinate reductase	HAMAP; MF_00102; 384 of 389	dihydrodipicolinate reductase	dapB	dapB	270	80.70 80.70	122.00 122.00
TIGR01332	TIGR01332	clustalw	cytochrome b559, alpha subunit	HAMAP; MF_00642; 117 of 117	cytochrome b559, alpha subunit	psbE	cyt_b559_alpha	80	25.90 25.90	93.95 93.95
TIGR03816	TIGR03816	muscle_manual	helicase/secretion neighborhood TadE-like protein	NA	helicase/secretion neighborhood TadE-like protein	NA	tadE_like_DECH	109	48.70 48.70	50.95 50.95
TIGR00831	TIGR00831	clustalw_manual	Na+/H+ antiporter	NA	Na+/H+ antiporter, bacterial form	NA	a_cpa1	525	218.75 218.75	279.60 279.60
TIGR03649	TIGR03649	muscle_manual	ergot alkaloid biosynthesis protein, AFUA_2G17970 family	NA	ergot alkaloid biosynthesis protein, AFUA_2G17970 family	NA	ergot_EASG	287	247.95 247.95	256.40 256.40
TIGR02638	TIGR02638	clustalw	lactaldehyde reductase	NA	lactaldehyde reductase	fucO	lactal_redase	379	479.25 479.25	523.15 523.15
TIGR02957	TIGR02957	muscle	RNA polymerase sigma-70 factor, TIGR02957 family	NA	RNA polymerase sigma-70 factor, TIGR02957 family	NA	SigX4	281	319.40 319.40	323.25 323.25
